file,label,source
001001_0.png,07SEP21 OZ SEP21,blank_date
001016_1.png,Best By FEB/21/21,blank_date
001017_0.png,Best By FEB/21/21 19:18NDL4C,reviewed
001018_1.png,16:19 F1,blank_date
001021_0.png,"2021.06,28.A",reviewed
001021_1.png,10:33,blank_date
001022_0.png,2021-06,blank_date
001023_2.png,Best before:13.07.2021,blank_date
001030_6.png,10-2022,blank_date
001031_0.png,10 2022,reviewed
001038_0.png,EXP:2021.12.28 DDFL TF29,blank_date
001039_0.png,EXP:2021.12.28 D0FL TF29,blank_date
001070_0.png,01.24 A,blank_date
001071_0.png,01.24a,blank_date
001072_0.png,2023/09/18,blank_date
001075_3.png,30/09/2021,blank_date
001078_0.png,SELL BY 2023 09 24 GRLRU,blank_date
001079_0.png,SELL BY 2023 09 24 GRURU,blank_date
001086_5.png,2023.10.09,blank_date
001086_6.png,20:38,blank_date
001093_0.png,2021.05.25,blank_date
001093_1.png,18:36 F1,reviewed
001129_0.png,유통기한,reviewed
001129_1.png,Expiry Date,reviewed
001131_0.png,02.12-12:53.HA,blank_date
001134_3.png,SELL BY 03/03/21 LOT 651 EST 54,reviewed
001164_1.png,2021.03.01 르ü르1.0크.01,blank_date
001167_1.png,·유통기한:,reviewed
001179_0.png,Best Before Date: 01 5EF 01 SEP 2022,blank_date
001180_0.png,Best Before Date: 01 SEP 2023,reviewed
001186_1.png,14:38,blank_date
001186_6.png,21:09:28,blank_date
001197_0.png,10 10 2021,blank_date
001198_0.png,:10 10 2021,blank_date
001205_0.png,05.21 L095 2,blank_date
001206_0.png,05.21 L095 2,blank_date
001214_0.png,21.05.15,reviewed
001215_0.png,EXP : 13 06 2021,reviewed
001237_1.png,01.28.,blank_date
001239_0.png,2020.12.19ㄴ1,blank_date
001254_0.png,10:53,blank_date
001254_1.png,2019.09.13 노ㅁI이.C9.15,blank_date
001257_0.png,EPIRY DATE:2023/07/3 L.1852),blank_date
001262_0.png,2021.03.25,blank_date
001268_7.png,2022.09.05,blank_date
001269_3.png,23:33:03,blank_date
001274_5.png,17/06/2022,blank_date
001279_0.png,WA02830585EXP2022/10/09,blank_date
001280_0.png,WA02830585EXP2022/10/09,blank_date
001286_6.png,21/11/2022,blank_date
001293_0.png,:2020/09,blank_date
001297_3.png,31호 유기품에 도 표기일까지(는법제에 일도만 인당의 1일지제조사-PAPLONSPL오장,blank_date
001297_12.png,De cormaarni preertimerte oro fine/Best bedome end/71et!,blank_txt_diff
001297_13.png,11/2023 L20204150-331,blank_date
001304_0.png,2021.04.12,reviewed
001305_0.png,2021-04- 12,blank_date
001308_0.png,13:37 307 BEST,blank_date
001308_1.png,BEFORE D6/11/2022,blank_date
001313_8.png,2022.01.15 BUA16,blank_date
001314_8.png,2022.01.15BUA16,blank_date
001318_10.png,200328 VO0,blank_date
001333_0.png,12/2021,blank_date
001333_2.png,11:00,blank_date
001334_0.png,26 OCT 2021,blank_date
001337_2.png,04  JUL 21,blank_date
001356_0.png,EXP:08/22 MFD:08/20 23:16,blank_date
001357_0.png,EXP:08/22MFD:08/20 23:16,blank_date
001358_6.png,12.2020-13:28/1819011,blank_date
001359_1.png,12.2020-13:28/1819011,blank_date
001360_4.png,TETT02.09.21,blank_date
001361_3.png,TETT:02.09.21,blank_date
001368_0.png,2021-08:19,blank_date
001376_0.png,19:51TK3,blank_date
001376_1.png,"BEST BY 2021 12 02 (KDREA,JAPAN,",blank_date
001377_0.png,19:51 TK3,blank_date
001377_1.png,"BEST BY 2021 12 02 (KTREA, JAPAN,",blank_date
001379_4.png,2021.01.22,blank_date
001381_1.png,2021:04.09,blank_date
001384_0.png,09-2018,blank_date
001393_0.png,Bestif used by:sek L20196 N.0660,blank_date
001393_7.png,14.JUL.2022,blank_date
001401_0.png,·유통기한:,reviewed
001402_1.png,2020. 09.29,reviewed
001404_4.png,2021.01.27F1,blank_date
001410_1.png,25.05.2021,blank_date
001411_0.png,유통기한: 2022.09.06까지,blank_date
001414_2.png,21.02-24,blank_date
001417_0.png,2021.11.05 04:55까지,reviewed
001455_6.png,2022.04.02,blank_date
001463_1.png,2021.11.17 09:48,reviewed
001463_2.png,유통기한 상단표시일까지,reviewed
001466_1.png,2020.11.03,blank_date
001466_2.png,침차내용량 300129×25벽,blank_date
001481_0.png,01. 31까지 08:52,reviewed
001482_0.png,01. 31까지 08:52,reviewed
001483_0.png,BEST BY FEB/06/21 07:45 FL6R,blank_date
001494_4.png,17/AUG/2023 L17062023,blank_date
001508_0.png,BEST BY: OCT-19-2021,blank_date
001509_0.png,BEST BY: OCT-19-2021,reviewed
001521_1.png,2021.07.08,blank_date
001523_7.png,16:57 A01,blank_date
001526_2.png,2021.01.21.F2지,blank_date
001549_0.png,RROD : 29/09/2020*,blank_date
001552_0.png,02.19까지 F1,blank_date
001553_0.png,02.19까지 F1,reviewed
001566_2.png,15:54,blank_date
001598_0.png,7년누2012.01~2018.12We 접20,blank_date
001598_1.png,21 02 01 12:02부터,reviewed
001598_2.png,21.03 07,blank_date
001636_0.png,유통기한,reviewed
001644_0.png,EXP:16.10.2021,blank_date
001693_0.png,2021.07,blank_date
001748_2.png,2019.06.16부터,blank_date
001748_3.png,2019.07.03까지,reviewed
001765_1.png,0920-6612-080731,blank_date
001769_1.png,21.12.22,blank_date
001776_0.png,05 04 2021,blank_date
001787_0.png,12.20L310 1,blank_date
001805_0.png,20.02.10,blank_date
001805_3.png,20.11.09,blank_date
001816_0.png,21.01.15부EA,blank_date
001831_0.png,004CG4CB19BB 12/2020,blank_date
001834_0.png,2022.07.12까지,reviewed
001842_1.png,D5-2021(B),blank_date
001843_1.png,05-2021<B>,blank_date
001848_0.png,EXP:2021/11/18,reviewed
001851_0.png,EXP 202111216,blank_date
001864_1.png,04/08/2023,reviewed
001899_0.png,BBE NOU 29 2021,blank_date
001900_0.png,BBE NOV 29 2021,reviewed
001911_4.png,"21MAY2021,1319",blank_date
001916_0.png,EXP JUN 24 2021,blank_date
001924_0.png,2022.01.21까지,reviewed
001947_2.png,EXP: 10 AUG 2022,reviewed
001956_1.png,유통기한,reviewed
001956_2.png,제품 별도시된 Best before 월/년의 01일까지,blank_txt_diff
001957_3.png,--OCT.2021,blank_date
001957_5.png,제품별도표시된 Best before:월/년의 01일까지,blank_txt_diff
001971_3.png,18.06.2021,blank_date
001973_1.png,사용기한:2023.03.15,reviewed
001974_2.png,09.2021 - 14:35/1914619,blank_date
001987_0.png,2021-12.28,blank_date
002019_0.png,9-03-2022,blank_date
002052_0.png,유통기한,reviewed
002052_3.png,13:45,blank_date
002054_7.png,12 2021,blank_date
002055_4.png,12 2021,blank_date
002060_0.png,u(2018년 9월 기준),reviewed
002060_1.png,04. 17까지15:59,reviewed
002061_1.png,04. 17까지15:59,reviewed
002073_3.png,24/12/21,reviewed
002125_0.png,BEST BY 21 APR/21,reviewed
002126_0.png,BEST BY 21 APR/21,reviewed
002183_1.png,2019.02:20,blank_date
002183_3.png,13:24,blank_date
002208_0.png,EXP 2022 05.31,blank_date
002220_0.png,SEP.30.2019 SEP·30·219,blank_date
002220_1.png,00:59,blank_date
002227_1.png,2023. 03 03,reviewed
002228_0.png,28/03/23,reviewed
002240_2.png,08:44:00,blank_date
002241_0.png,BEST IF USED,reviewed
002241_2.png,08:44.00,blank_date
002244_1.png,EXP21/05/21,blank_date
002245_0.png,EXP21/05/21,blank_date
002269_0.png,16/03/21 121,blank_date
002277_0.png,BEST BY JUL 2023,blank_date
